Title,Employees,Median salary
Police,"6,646","$58,025"
Fire,"4,073","$61,226"
Public Works & Engineering,"3,691","$40,601"
Aviation,"1,278","$38,646"
Parks & Recreation,"1,051","$27,268"
Health & Human Services,"1,048","$44,429"
Library,536,"$30,888"
Solid Waste,446,"$35,505"
Administration & Regulatory Affairs,369,"$39,104"
Municipal Courts,368,"$39,686"
